,missing_joint_probabilities,missing_joint_probabilities,missing_joint_probabilities,missing_joint_probabilities,missing_joint_probabilities,missing_joint_probabilities,missing_joint_probabilities,missing_joint_probabilities,missing_joint_probabilities,missing_joint_probabilities,missing_joint_probabilities,missing_joint_probabilities,missing_joint_probabilities,missing_joint_probabilities,missing_joint_probabilities,missing_joint_probabilities,missing_joint_probabilities,missing_joint_probabilities,missing_joint_probabilities,missing_joint_probabilities,missing_joint_probabilities,missing_joint_probabilities,missing_joint_probabilities,missing_joint_probabilities,missing_joint_probabilities,missing_joint_probabilities,F1Score,F1Score
,crl_root,crl_hips__C,crl_spine__C,crl_spine01__C,crl_shoulder__L,crl_arm__L,crl_foreArm__L,crl_hand__L,crl_neck__C,crl_Head__C,crl_eye__L,crl_eye__R,crl_shoulder__R,crl_arm__R,crl_foreArm__R,crl_hand__R,crl_thigh__R,crl_leg__R,crl_foot__R,crl_toe__R,crl_toeEnd__R,crl_thigh__L,crl_leg__L,crl_foot__L,crl_toe__L,crl_toeEnd__L,end,best
80,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,0,1,1,1,1,1,1,0,1,1,1,0.7840720415115356,0.763527512550354
81,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,0,0.8943634033203125,0.8900541663169861
82,0,1,0,1,0,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0.7418506145477295,0.8340640068054199
83,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,0,0,0,1,0,0,1,1,1,0,1,0.8004394173622131,0.8559427857398987
84,1,1,1,1,0,1,1,0,1,0,1,1,0,1,1,1,1,0,0,0,1,1,1,0,0,1,0.8452960252761841,0.8022106885910034
85,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1,1,1,0.8761172294616699,0.8735566735267639
86,1,0,0,1,1,1,0,1,0,1,1,1,1,1,0,1,0,0,1,0,0,0,1,1,0,1,0.8474305272102356,0.8474305272102356
87,1,1,1,1,1,1,0,0,0,1,0,1,1,1,0,0,1,1,1,0,0,0,1,0,0,1,0.8644323945045471,0.8761144876480103
88,1,1,1,1,0,1,0,1,0,0,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,0,0.8485651612281799,0.8420805335044861
89,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,1,1,1,0,1,1,0,1,1,1,0.8509713411331177,0.8505252599716187
90,1,1,1,0,1,0,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,1,0,0,0.8447304964065552,0.870700478553772
91,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,0,1,0,1,1,0.8389982581138611,0.829086184501648
92,0,1,1,1,0,1,1,1,1,0,1,0,1,0,0,1,1,1,1,1,1,0,0,1,1,0,0.845268726348877,0.8439069986343384
93,0,1,1,1,1,1,0,1,0,1,0,1,1,0,1,0,1,1,1,1,1,1,1,0,0,1,0.8574420213699341,0.8574420213699341
94,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,0,1,1,0,0.7715529203414917,0.8004140853881836
95,1,0,1,1,0,1,0,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0.8194573521614075,0.8194573521614075
